_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,여행유형,나이,나이대
10003,F,1959,기타,결혼하지 않은 성인,1,경기,부천시,기타,100만원 미만,Y,2023,포레스트 리솜,충북,충북 제천시 백운면 금봉로 365,100개 이하,성급없음,휴양콘도미니엄업,517248,431940,695230,9,자녀,가족여행,65,60대
10010,F,1960,기혼,결혼한 성인,2,경기,용인시,전업주부,100만원 미만,Y,2021,제주 신화월드 랜딩관,제주,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,200개 이상,5성,관광호텔,200480,119213,448800,10,"배우자, 자녀",가족여행,62,60대
10011,M,1955,기혼,결혼한 성인,2,경기,용인시,전업주부,100만원 미만,Y,2022,제주 신화월드 랜딩관,제주,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,200개 이상,5성,관광호텔,200480,119213,448800,10,"자녀, 배우자",가족여행,68,60대
11216,M,1973,기혼,"영/유아, 초등학생",4,경기,수원시,기타,300만원,Y,2020,현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,"배우자, 자녀",가족여행,48,40대
13984,M,1982,기혼,"영/유아, 초등학생",4,서울,강북구,사무직,500만원,Y,2021,현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,"배우자, 자녀",가족여행,40,40대
16589,M,1978,기혼,"영/유아, 초등학생",4,경기,화성시,자영업,700만원,Y,2020,현대수 리조트 속초,강원,강원도 속초시 이목로 153,200개 이상,성급없음,휴양콘도미니엄업,96406,53000,260000,9,"배우자, 자녀",가족여행,43,40대
11184,M,1975,기혼,"영/유아, 초등학생",4,서울,송파구,판매/서비스직,300만원,Y,2020,호텔 미란다,경기,경기 이천시 중리천로115번길 45,200개 이하,4성,관광호텔,98563,48399,251445,9,"자녀, 배우자",가족여행,46,40대
10040,M,1968,기혼,중/고등학생,4,경기,용인시,무직,100만원 미만,Y,2019,아난티 힐튼 부산,부산,부산 기장군 기장읍 기장해안로 268-32,200개 이상,5성,관광호텔업,587643,383350,990000,9,"배우자, 자녀",가족여행,52,50대
10051,F,1966,기혼,결혼하지 않은 성인,2,부산,동구,무직,100만원 미만,Y,2021,라한호텔 포항,경북,경북 포항시 북구 삼호로265번길 1,200개 이하,3성,관광호텔업,226345,115200,480000,7,"형제/자매, 자녀",가족여행,56,50대
11186,M,1982,기혼,"영/유아, 초등학생",4,경남,창원시,기술직,300만원,Y,2020,호텔 미란다,경기,경기 이천시 중리천로115번길 45,200개 이하,4성,관광호텔,98563,48399,251445,9,"자녀, 배우자",가족여행,39,30대
