"AGE_RANGE","LDGS_ADDR","LDGS_NM","LDGS_ROAD_NM_ADDR","visit_count"
"20대","강원","쏠비치 호텔 삼척","강원 삼척시 수로부인길 453","25"
"20대","강원","소노벨 비발디파크 b c 구 오크 파인","강원 홍천군 서면 한치골길 264","12"
"20대","강원","롯데리조트 속초","강원 속초시 대포항길 186","9"
"20대","강원","하이원 팰리스호텔","강원 정선군 고한읍 고한7길 399","8"
"20대","강원","쏠비치 호텔 양양","강원 양양군 손양면 선사유적로 678","8"
"20대","부산","파라다이스호텔부산","부산 해운대구 해운대해변로 296","12"
"20대","부산","신라스테이 해운대","부산 해운대구 해운대로570번길 46","10"
"20대","부산","베스트웨스턴 해운대 호텔","부산 해운대구 구남로 42","8"
"20대","부산","라발스 호텔 부산","부산 영도구 봉래나루로 82","8"
"20대","부산","롯데 호텔 부산","부산 부산진구 가야대로 772","7"
"20대","서울","서울신라호텔","서울 중구 동호로 249","13"
"20대","서울","롯데 호텔 서울","서울 중구 을지로 30","11"
"20대","서울","신라스테이 삼성","서울 강남구 영동대로 506","10"
"20대","서울","신라스테이 서대문","서울 서대문구 충정로 76","8"
"20대","서울","노보텔 앰배서더 서울 용산","서울 용산구 청파로20길 95","8"
"20대","인천","송도센트럴파크호텔","인천 연수구 테크노파크로 193","7"
"20대","인천","네스트호텔(NEST HOTEL)","인천 중구 용유동 영종해안남로 19-5","6"
"20대","인천","파라다이스시티","인천 중구 영종해안남로321번길 186","5"
"20대","인천","오크우드프리미어인천호텔","인천 연수구 컨벤시아대로 165","4"
"20대","인천","쉐라톤 그랜드 인천","인천 연수구 컨벤시아대로 153","4"
"20대","제주","롯데호텔 제주","제주특별자치도 제주시 도령로 83","14"
"20대","제주","라마다제주시티","제주특별자치도 제주시 중앙로 304","13"
"20대","제주","제주 신화월드 랜딩관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38","10"
"20대","제주","제주 신라 호텔","제주특별자치도 서귀포시 중문관광로72번길 75","9"
"20대","제주","켄싱턴리조트 서귀포","제주특별자치도 서귀포시 이어도로 684","5"
"30대","강원","쏠비치 호텔 삼척","강원 삼척시 수로부인길 453","76"
"30대","강원","소노벨 비발디파크 b c 구 오크 파인","강원 홍천군 서면 한치골길 264","42"
"30대","강원","하이원 팰리스호텔","강원 정선군 고한읍 고한7길 399","28"
"30대","강원","스카이베이경포","강원 강릉시 해안로 476","25"
"30대","강원","쏠비치 호텔 양양","강원 양양군 손양면 선사유적로 678","24"
"30대","부산","힐튼 호텔 부산","부산 기장군 기장읍 기장해안로 268-32","37"
"30대","부산","파라다이스호텔부산","부산 해운대구 해운대해변로 296","31"
"30대","부산","신라스테이 해운대","부산 해운대구 해운대로570번길 46","24"
"30대","부산","아난티 힐튼 부산","부산 기장군 기장읍 기장해안로 268-32","23"
"30대","부산","롯데 호텔 부산","부산 부산진구 가야대로 772","21"
"30대","서울","롯데 호텔 서울","서울 중구 을지로 30","44"
"30대","서울","서울신라호텔","서울 중구 동호로 249","21"
"30대","서울","인터컨티넨탈 서울 코엑스","서울 강남구 봉은사로 524","17"
"30대","서울","신라스테이 삼성","서울 강남구 영동대로 506","16"
"30대","서울","그랜드 하얏트 서울","서울 용산구 소월로 322","14"
"30대","인천","파라다이스시티","인천 중구 영종해안남로321번길 186","38"
"30대","인천","네스트호텔(NEST HOTEL)","인천 중구 용유동 영종해안남로 19-5","25"
"30대","인천","오크우드프리미어인천호텔","인천 연수구 컨벤시아대로 165","17"
"30대","인천","송도센트럴파크호텔","인천 연수구 테크노파크로 193","12"
"30대","인천","라마다 바이 윈덤 인천","인천 남동구 소래역로 36","9"
"30대","제주","제주 신화월드 랜딩관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38","50"
"30대","제주","롯데호텔 제주","제주특별자치도 제주시 도령로 83","47"
"30대","제주","해비치 호텔 & 리조트","제주 서귀포시 표선면 민속해안로 537","34"
"30대","제주","제주 신라 호텔","제주특별자치도 서귀포시 중문관광로72번길 75","27"
"30대","제주","휘닉스 섭지코지","제주특별자치도 서귀포시 성산읍 섭지코지로 107","24"
"40대","강원","쏠비치 호텔 삼척","강원 삼척시 수로부인길 453","193"
"40대","강원","하이원 팰리스호텔","강원 정선군 고한읍 고한7길 399","98"
"40대","강원","소노벨 비발디파크 b c 구 오크 파인","강원 홍천군 서면 한치골길 264","97"
"40대","강원","쏠비치 호텔 양양","강원 양양군 손양면 선사유적로 678","74"
"40대","강원","한화리조트 설악 쏘라노","강원도 속초시 미시령로2983번길 111","65"
"40대","경북","소노벨 경주","경북 경주시 보문로 402-12","81"
"40대","경북","한화리조트 경주","경북 경주시 보문로 182-27","32"
"40대","경북","라한호텔 포항","경북 포항시 북구 삼호로265번길 1","25"
"40대","경북","덕구온천호텔","경북 울진군 북면 덕구온천로 924","23"
"40대","경북","한화리조트 백암온천","경북 울진군 온정면 온천로 129-13","22"
"40대","부산","파라다이스호텔부산","부산 해운대구 해운대해변로 296","59"
"40대","부산","한화리조트 해운대","부산광역시 해운대구 마린시티3로 52","49"
"40대","부산","롯데 호텔 부산","부산 부산진구 가야대로 772","35"
"40대","부산","힐튼 호텔 부산","부산 기장군 기장읍 기장해안로 268-32","26"
"40대","부산","아난티 힐튼 부산","부산 기장군 기장읍 기장해안로 268-32","23"
"40대","전남","쏠비치 진도 호텔","전남 진도군 의신면 송군길 30-40","152"
"40대","전남","엘도라도리조트","전남 신안군 증도면 지도증도로 1766-15","30"
"40대","전남","금호리조트 화순","전남 화순군 백아면 옥리길 14-21","24"
"40대","전남","호텔현대 바이 라한 목포","전남 영암군 삼호읍 대불로 91","24"
"40대","전남","베네치아관광호텔","전남 순천시 팔마2길 13","21"
"40대","제주","제주 신화월드 랜딩관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38","109"
"40대","제주","롯데호텔 제주","제주특별자치도 제주시 도령로 83","57"
"40대","제주","해비치 호텔 & 리조트","제주 서귀포시 표선면 민속해안로 537","52"
"40대","제주","제주 신라 호텔","제주특별자치도 서귀포시 중문관광로72번길 75","45"
"40대","제주","한화리조트 제주","제주특별자치도 제주시 명림로 575-107","44"
"50대","강원","쏠비치 호텔 삼척","강원 삼척시 수로부인길 453","148"
"50대","강원","한화리조트 설악 쏘라노","강원도 속초시 미시령로2983번길 111","66"
"50대","강원","하이원 팰리스호텔","강원 정선군 고한읍 고한7길 399","63"
"50대","강원","쏠비치 호텔 양양","강원 양양군 손양면 선사유적로 678","59"
"50대","강원","소노벨 비발디파크 b c 구 오크 파인","강원 홍천군 서면 한치골길 264","41"
"50대","경북","소노벨 경주","경북 경주시 보문로 402-12","50"
"50대","경북","한화리조트 백암온천","경북 울진군 온정면 온천로 129-13","24"
"50대","경북","경주 코오롱호텔","경북 경주시 불국로 289-17","14"
"50대","경북","덕구온천호텔","경북 울진군 북면 덕구온천로 924","13"
"50대","경북","한화리조트 경주","경북 경주시 보문로 182-27","12"
"50대","부산","한화리조트 해운대","부산광역시 해운대구 마린시티3로 52","46"
"50대","부산","파라다이스호텔부산","부산 해운대구 해운대해변로 296","34"
"50대","부산","호텔 농심","부산 동래구 금강공원로20번길 23","29"
"50대","부산","롯데 호텔 부산","부산 부산진구 가야대로 772","29"
"50대","부산","코모도호텔 부산","부산 중구 중구로 151","20"
"50대","전남","쏠비치 진도 호텔","전남 진도군 의신면 송군길 30-40","116"
"50대","전남","소노캄 여수","전남 여수시 오동도로 111","32"
"50대","전남","엘도라도리조트","전남 신안군 증도면 지도증도로 1766-15","27"
"50대","전남","베네치아관광호텔","전남 순천시 팔마2길 13","24"
"50대","전남","호텔현대 바이 라한 목포","전남 영암군 삼호읍 대불로 91","22"
"50대","제주","해비치 호텔 & 리조트","제주 서귀포시 표선면 민속해안로 537","52"
"50대","제주","롯데호텔 제주","제주특별자치도 제주시 도령로 83","45"
"50대","제주","제주 신화월드 랜딩관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38","44"
"50대","제주","라마다제주시티","제주특별자치도 제주시 중앙로 304","36"
"50대","제주","금호 제주 리조트","제주특별자치도 서귀포시 남원읍 태위로 522-12","34"
"60대 이상","강원","쏠비치 호텔 삼척","강원 삼척시 수로부인길 453","71"
"60대 이상","강원","한화리조트 설악 쏘라노","강원도 속초시 미시령로2983번길 111","39"
"60대 이상","강원","소노벨 비발디파크 b c 구 오크 파인","강원 홍천군 서면 한치골길 264","22"
"60대 이상","강원","쏠비치 호텔 양양","강원 양양군 손양면 선사유적로 678","22"
"60대 이상","강원","하이원 팰리스호텔","강원 정선군 고한읍 고한7길 399","21"
"60대 이상","경북","소노벨 경주","경북 경주시 보문로 402-12","53"
"60대 이상","경북","한화리조트 백암온천","경북 울진군 온정면 온천로 129-13","22"
"60대 이상","경북","덕구온천호텔","경북 울진군 북면 덕구온천로 924","17"
"60대 이상","경북","한화리조트 경주","경북 경주시 보문로 182-27","15"
"60대 이상","경북","경주 코오롱호텔","경북 경주시 불국로 289-17","9"
"60대 이상","부산","한화리조트 해운대","부산광역시 해운대구 마린시티3로 52","22"
"60대 이상","부산","파라다이스호텔부산","부산 해운대구 해운대해변로 296","13"
"60대 이상","부산","그랜드 조선 부산","부산 해운대구 해운대해변로 292","13"
"60대 이상","부산","롯데 호텔 부산","부산 부산진구 가야대로 772","11"
"60대 이상","부산","아난티 힐튼 부산","부산 기장군 기장읍 기장해안로 268-32","11"
"60대 이상","전남","쏠비치 진도 호텔","전남 진도군 의신면 송군길 30-40","51"
"60대 이상","전남","엘도라도리조트","전남 신안군 증도면 지도증도로 1766-15","35"
"60대 이상","전남","여수 벨메르","전남 여수시 웅천남4로 17(웅천동)","15"
"60대 이상","전남","호텔현대 바이 라한 목포","전남 영암군 삼호읍 대불로 91","14"
"60대 이상","전남","베네치아관광호텔","전남 순천시 팔마2길 13","13"
"60대 이상","제주","제주 신화월드 랜딩관","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38","27"
"60대 이상","제주","금호 제주 리조트","제주특별자치도 서귀포시 남원읍 태위로 522-12","23"
"60대 이상","제주","한화리조트 제주","제주특별자치도 제주시 명림로 575-107","21"
"60대 이상","제주","해비치 호텔 & 리조트","제주 서귀포시 표선면 민속해안로 537","21"
"60대 이상","제주","롯데호텔 제주","제주특별자치도 제주시 도령로 83","18"
